menu_id,image_id,page_number,width,height
12614,4000009262,3,1717,2668
12614,4000009263,4,1718,2703
12614,4000009264,5,1740,2691
12614,4000009265,6,1766,2665
12614,4000009266,7,1740,2667
12614,4000009267,8,1855,2724
12614,466978,1,1936,2784
12616,4000009275,2,1527,2281
12616,4000009276,3,1575,2312
12616,4000009277,4,1934,2574
12616,466980,1,1928,2579
12617,4000009286,2,1951,3008
12617,466985,1,1938,3000
12618,4000009287,2,2090,2910
12618,466987,1,2113,2920
12619,4000009317,2,2388,3574
12619,466993,1,2382,3596
12620,4000009319,2,1762,2820
12620,466995,1,1747,2805
12621,4000009327,2,2738,1792
12621,467001,1,1873,2760
12622,4000009328,2,2759,1852
12622,467002,1,1875,2766
12624,4000008153,2,1691,2615
12624,475809,1,1740,2622
12625,4000008159,2,3133,4848
12625,475815,1,3261,4949
12626,4000008160,2,3513,5611
12626,4000008161,3,3229,5559
12626,4000008162,4,3525,5644
12626,475816,1,3549,5614
12627,4000008163,2,2954,4580
12627,475817,1,2990,4617
12628,4000008164,2,2001,3133
12628,475818,1,2021,3108
12629,4000008165,2,2191,3328
12629,475829,1,2158,3388
12630,4000008166,2,2755,3666
12630,475830,1,2758,3661
12632,4000001313,2,1904,2910
12632,4000001314,3,1904,2896
12632,4000001315,4,1867,2896
12632,474546,1,1903,2880
12633,4000001316,2,2249,3236
12633,4000001317,3,2213,3082
12633,4000001318,4,2611,3402
12633,474551,1,2669,3527
12635,4000000922,2,1514,2122
12635,474376,1,1502,2144
12636,4000000055,2,2282,3495
12636,4000000056,3,2290,3518
12636,4000000057,4,2321,3551
12636,476926,1,2306,3531
12637,4000002069,2,2174,3302
12637,474800,1,2145,3293
12638,4000013960,2,2857,4633
12638,4000013961,3,2823,4659
12638,4000013962,4,2986,4675
12638,471634,1,3064,4674
12639,4000013970,2,1417,2991
12639,4000013971,3,1454,2974
12639,4000013972,4,1512,3005
12639,471640,1,1514,2995
12640,4000013973,2,1585,1494
12640,4000013974,3,1727,1452
12640,4000013975,4,1594,1478
12640,4000013976,5,1710,1461
12640,4000013977,6,1584,1465
12640,4000013978,7,2118,1456
12640,471641,1,2066,1466
12641,4000013979,2,1749,2574
12641,471642,1,2518,1724
12642,4000013980,2,1147,1443
12642,4000013981,3,1134,1414
12642,4000013982,4,1306,1457
12642,471643,1,1291,1452
12643,4000013983,2,2406,3611
12643,4000013984,3,2464,3735
12643,4000013985,4,2460,3729
12643,4000013986,5,2427,3703
12643,4000013987,6,2436,3734
12643,4000013988,7,2452,3619
12643,4000013989,8,3690,2572
12643,471644,1,2593,3703
12644,4000013990,2,1565,3016
12644,4000013991,3,1538,3034
12644,4000013992,4,1655,3035
12644,471645,1,1667,3043
12645,4000008389,2,1882,2897
12645,4000008390,3,1852,2875
12645,4000008391,4,1849,2879
12645,466403,1,1981,2915
12646,4000008395,2,2488,4166
12646,466407,1,2404,4155
12647,4000008396,2,2743,1839
12647,466408,1,1894,2767
12648,4000008398,2,2781,1813
12648,466410,1,1900,2785
12649,4000008400,2,1362,1955
12649,4000008401,3,1331,1947
12649,4000008402,4,1357,1947
12649,466412,1,1349,1955
12650,4000008403,2,2196,3344
12650,466413,1,2220,3326
12651,4000008406,2,2162,3268
12651,466418,1,2280,3351
12652,4000008407,2,2229,3345
12652,466419,1,2229,3388
12653,4000008408,2,2132,3299
12653,466420,1,2170,3310
12654,4000008637,2,2213,3172
12654,466586,1,2244,3215
12655,4000008638,2,2369,3177
12655,466588,1,2372,3150
12656,4000008639,2,1815,2515
12656,466589,1,1822,2489
12657,4000008640,2,2742,1861
12657,466590,1,1857,2728
12658,4000008904,2,2076,3293
12658,466764,1,2112,3321
12662,4000008932,2,1366,2979
12662,4000008933,3,1408,3034
12662,4000008934,4,1468,3007
12662,466776,1,1498,3035
12663,4000008937,2,1882,2538
12663,4000008938,3,1846,2517
12663,4000008939,4,1945,2531
12663,466777,1,1929,2517
12664,4000008940,2,1950,2723
12664,466778,1,1965,2732
12665,4000008941,2,1718,4274
12665,4000008942,3,1768,4331
12665,4000008943,4,1867,4316
12665,466779,1,1855,4330
12666,4000014000,2,3094,3095
12666,4000014001,3,3073,3117
12666,4000014002,4,3103,3095
12666,471651,1,3095,3073
12668,4000014010,2,2481,3821
12668,4000014011,3,2497,3809
12668,4000014012,4,2637,3855
12668,471653,1,2644,3855
12669,4000014017,2,2317,2927
12669,471656,1,2294,2948
12670,4000014018,2,2307,3535
12670,471657,1,2332,3528
12671,4000014020,2,2304,3426
12671,471667,1,2257,3383
12672,4000014021,2,1865,2820
12672,471668,1,1867,2828
12673,4000014022,2,2298,2939
12673,471669,1,2308,2930
12674,4000010545,2,1938,3078
12674,468673,1,1956,3081
12675,4000010548,2,1889,2925
12675,468676,1,1945,2940
12678,4000008410,2,2358,3671
12678,466422,1,2356,3595
12686,4000009678,2,1330,1911
12686,467218,1,1300,1934
12688,4000009681,2,2021,3211
12688,467221,1,1998,3190
12689,4000008650,2,1821,2629
12689,466597,1,1811,2600
12692,4000008655,2,2025,2883
12692,466601,1,2418,2864
12694,4000008660,2,2334,3512
12694,466614,1,2317,3508
12695,4000008944,2,2990,4592
12695,466780,1,2978,4592
12696,4000008945,2,1855,2905
12696,466781,1,1846,2901
12697,4000008947,2,2116,2910
12697,466783,1,2083,2884
12698,4000008948,2,2087,3299
12698,466784,1,2088,3291
12700,4000008950,2,1781,4331
12700,4000008951,3,1760,4311
12700,4000008952,4,1863,4350
12700,466786,1,1872,4350
12702,4000008960,2,2072,2972
12702,466788,1,2067,2970
12703,4000008961,2,2108,2901
12703,466792,1,2093,2893
12704,4000008962,2,2775,4600
12704,4000008963,3,2857,4659
12704,4000008964,4,2769,4635
12704,466793,1,2803,4586
12705,4000008965,2,1572,2454
12705,466794,1,1565,2458
12706,4000008967,2,1943,3067
12706,466796,1,1910,3056
12708,4000008974,2,1898,3022
12708,466801,1,1911,3064
12709,4000008978,2,1905,2910
12709,466803,1,1918,2931
12710,4000010560,2,2264,3215
12710,468686,1,2282,3239
12711,4000010562,2,2283,3228
12711,468688,1,2304,3230
12712,4000010573,2,2194,2846
12712,4000010574,3,2235,2879
12712,4000010575,4,2335,2891
12712,468697,1,2300,2880
12713,4000010578,2,4280,4006
12713,468700,1,4274,3960
12714,4000010581,2,1985,2867
12714,468703,1,1937,2846
12715,4000011448,2,2622,3237
12715,476154,1,2627,3258
12716,4000011451,2,2270,3303
12716,476157,1,2247,3297
12717,4000011452,2,1183,2161
12717,4000011453,3,1173,2144
12717,4000011454,4,1266,2156
12717,476158,1,1256,2169
12718,4000011455,2,2239,3391
12718,476159,1,2222,3375
12719,4000011456,2,1923,3043
12719,476160,1,1942,3068
12721,4000011460,2,2282,3474
12721,476163,1,2295,3482
12722,4000009682,2,2056,3421
12722,467222,1,2041,3385
12723,4000009689,2,2517,3803
12723,4000009690,3,2522,3807
12723,4000009691,4,2500,3822
12723,467227,1,2493,3788
12724,4000009692,2,2548,4311
12724,4000009693,3,2497,4291
12724,4000009694,4,2574,4295
12724,467228,1,2544,4309
12725,4000009705,2,2360,3543
12725,467235,1,2390,3604
12726,4000009706,2,2381,3587
12726,467236,1,2385,3599
12728,4000009722,2,2084,3291
12728,467246,1,2109,3285
12729,4000009723,2,2112,3498
12729,467247,1,2093,3521
12731,4000011464,2,1411,2209
12731,476166,1,1413,2221
12732,4000011465,2,1932,3077
12732,476167,1,1904,3064
12733,4000011466,2,1908,3056
12733,476168,1,1921,3093
12736,4000008178,2,2215,3429
12736,475832,1,2213,3452
12737,4000008191,2,2756,5036
12737,4000008192,3,2866,5059
12737,4000008193,4,2998,5055
12737,475839,1,2966,5055
12738,4000008194,2,1789,2909
12738,475840,1,1845,2925
12739,4000008195,2,1691,2618
12739,475841,1,1723,2634
12740,4000008196,2,2717,1839
12740,475842,1,1888,2757
12744,4000008206,2,1891,2837
12744,475847,1,1930,2895
12746,4000008208,2,1977,3020
12746,475849,1,1951,3052
12747,4000008209,2,2148,2953
12747,475852,1,2123,2962
12749,4000009329,2,2712,1815
12749,467003,1,1805,2691
12751,4000009333,2,1955,3005
12751,467005,1,2019,2975
12754,4000009353,2,3062,4659
12754,4000009354,3,2892,4633
12754,4000009355,4,3045,4676
12754,467013,1,3006,4697
12755,4000009356,2,2836,4530
12755,4000009357,3,2822,4617
12755,4000009358,4,3038,4622
12755,467014,1,3060,4737
12757,4000009362,2,1007,1500
12757,467017,1,2401,3571
12758,4000009363,2,2479,3833
12758,4000009364,3,2448,3830
12758,4000009365,4,992,1500
12758,467018,1,991,1501
12759,4000009366,2,1742,3023
12759,467019,1,1754,3005
12760,4000009367,2,1577,2257
12760,467020,1,1604,2260
12761,4000009368,2,1955,2949
12761,467021,1,1933,2961
12762,4000009369,2,1958,2936
12762,467022,1,1936,2930
12763,4000009373,2,1959,3013
12763,467026,1,2019,3035
12764,4000009374,2,1025,1500
12764,4000009375,3,1820,2629
12764,4000009376,4,1797,2608
12764,467027,1,1807,2622
12765,4000009377,2,2290,3432
12765,467028,1,2274,3387
12766,4000009378,2,2198,3149
12766,4000009379,3,2162,3147
12766,4000009380,4,1063,1500
12766,467029,1,1046,1500
12767,4000009382,2,2708,1821
12767,467031,1,1853,2774
12768,4000008440,2,2136,3310
12768,466449,1,2136,3311
12769,4000008442,2,2215,3373
12769,466451,1,2151,3317
12770,4000008443,2,1829,2594
12770,466452,1,1831,2579
12771,4000008444,2,2703,1825
12771,466453,1,1869,2738
12772,4000008661,2,986,1500
12772,466615,1,2354,3525
12773,4000008662,2,2193,3536
12773,4000008663,3,2252,3519
12773,4000008664,4,2321,3530
12773,466616,1,2377,3593
12774,4000008665,2,995,1501
12774,466621,1,2694,4080
12775,4000008666,2,2400,3867
12775,4000008667,3,2410,3881
12775,4000008668,4,2520,3903
12775,466623,1,964,1500
12776,4000008669,2,2143,3370
12776,466631,1,2135,3342
12777,4000008670,2,1896,2822
12777,466632,1,1912,2850
12778,4000007997,2,2730,1829
12778,475691,1,1828,2744
12779,4000007998,2,2358,3143
12779,475692,1,2351,3130
12780,4000008002,2,3707,2838
12780,475696,1,1500,1159
12781,4000008003,2,2350,3696
12781,4000008004,3,2337,3689
12781,4000008005,4,2328,3694
12781,475697,1,942,1500
12782,4000008006,2,2585,3649
12782,4000008007,3,2539,3641
12782,4000008008,4,2585,3652
12782,475698,1,1063,1501
12783,4000008009,2,2576,4057
12783,4000008010,3,2588,4089
12783,4000008011,4,2606,4084
12783,475699,1,942,1500
12784,4000008012,2,2846,4521
12784,4000008013,3,2803,4502
12784,4000008014,4,2965,4551
12784,475700,1,972,1500
12785,4000008015,2,2251,2792
12785,475701,1,2302,2801
12786,4000008016,2,2194,3100
12786,475702,1,2196,3108
12787,4000008018,2,1152,1501
12787,475704,1,3367,4397
12788,4000008019,2,2350,3873
12788,475705,1,2392,3905
12789,4000008020,2,2487,3875
12789,4000008021,3,2454,3848
12789,4000008022,4,2468,3862
12789,475706,1,2471,3879
12790,4000008023,2,2221,2971
12790,475707,1,2211,2961
12792,4000008031,2,906,1500
12792,475709,1,1796,2953
12793,4000008032,2,1027,1600
12793,475710,1,1973,3074
12794,4000008979,2,1798,2672
12794,466804,1,1806,2711
12795,4000008980,2,1212,1500
12795,466806,1,2254,2824
12796,4000008982,2,1693,2062
12796,466807,1,1713,2101
12797,4000008983,2,952,1500
12797,466808,1,1874,2936
12798,4000008984,2,1043,1500
12798,4000008985,3,1610,2325
12798,4000008986,4,1086,1500
12798,466809,1,1092,1500
12799,4000008987,2,965,1500
12799,466810,1,1612,2480
12800,4000008988,2,1882,2953
12800,466811,1,1863,2963
12801,4000008989,2,2241,3541
12801,4000008990,3,997,1501
12801,4000008991,4,1010,1500
12801,4000008992,5,2235,3554
12801,4000008993,6,1011,1501
12801,466812,1,989,1500
12802,4000008994,2,1032,1500
12802,466813,1,2257,3309
12803,4000008995,2,1610,2514
12803,466814,1,1572,2454
12804,4000008998,2,975,1500
12804,466817,1,2661,4071
12805,4000008999,2,1186,1500
12805,466818,1,2281,2861
12806,4000009000,2,1049,1500
12806,466819,1,2174,3100
12807,4000009003,2,955,1500
12807,466820,1,1536,2422
12808,4000009004,2,898,1501
12808,4000009005,3,906,1500
12808,4000009006,4,2328,3691
12808,466821,1,936,1500
12809,4000009008,2,2709,1822
12809,466823,1,1834,2737
12810,4000009384,2,982,1500
12810,467033,1,1964,2999
12811,4000009386,2,983,1501
12811,467037,1,2269,3486
12812,4000009387,2,2155,3123
12812,4000009388,3,1028,1500
12812,4000009389,4,1057,1500
12812,467039,1,2235,3146
12813,4000009390,2,2454,2906
12813,467040,1,2418,2892
12814,4000009391,2,2572,4975
12814,4000009392,3,2528,4968
12814,4000009393,4,777,1500
12814,467041,1,776,1500
12815,4000009394,2,2817,4048
12815,4000009395,3,2833,4054
12815,4000009396,4,2841,4062
12815,467042,1,1023,1500
12816,4000009397,2,975,1500
12816,467043,1,1877,2913
12817,4000009398,2,1249,1500
12817,467044,1,1971,2402
12818,4000009399,2,2051,2384
12818,467045,1,1967,2350
12819,4000009400,2,2757,3909
12819,4000009401,3,2576,3875
12819,4000009402,4,2603,3940
12819,4000009403,5,2064,3954
12819,4000009404,6,768,1500
12819,467046,1,1026,1501
12820,4000009405,2,1069,1501
12820,4000009406,3,2314,3247
12820,4000009407,4,1081,1501
12820,467047,1,1073,1500
12821,4000009410,2,2738,1822
12821,467050,1,1854,2756
12822,4000009411,2,2356,3541
12822,467051,1,2336,3566
12823,4000009412,2,3014,4563
12823,467055,1,3042,4535
12824,4000009413,2,2187,2694
12824,4000009414,3,1178,1500
12824,4000009415,4,1166,1500
12824,467056,1,1170,1500
12826,4000009419,2,2233,2975
12826,4000009420,3,1095,1500
12826,4000009421,4,1165,1500
12826,467058,1,1254,1500
12827,4000009422,2,994,1500
12827,4000009423,3,1815,2709
12827,4000009424,4,1019,1500
12827,467059,1,1021,1500
12828,4000009425,2,993,1500
12828,467060,1,1994,2992
12829,4000008449,2,2389,2833
12829,466458,1,2372,2776
12830,4000008452,2,2521,3907
12830,466459,1,2532,3900
12831,4000008453,2,957,1501
12831,466460,1,2460,3906
12832,4000008454,2,2898,3737
12832,466461,1,2965,3752
12833,4000008455,2,1034,1600
12833,466462,1,2132,3315
12834,4000008456,2,1052,1600
12834,466463,1,2179,3309
12835,4000008457,2,1067,1600
12835,466464,1,1634,2534
12836,4000008458,2,1834,2678
12836,4000008459,3,1748,2560
12836,4000008460,4,1854,2560
12836,466465,1,1153,1600
12837,4000008461,2,1047,1600
12837,466466,1,2460,3824
12838,4000008462,2,976,1600
12838,466467,1,1756,2862
12839,4000008463,2,2212,3572
12839,4000008464,3,2204,3570
12839,4000008465,4,1020,1600
12839,466468,1,2297,3584
12840,4000008469,2,1034,1600
12840,466472,1,2992,4598
12841,4000008470,2,3002,4568
12841,466473,1,3003,4560
12842,4000008476,2,3017,5425
12842,466477,1,3008,5362
12843,4000008477,2,1052,1600
12843,466478,1,2267,3438
12844,4000008478,2,1055,1600
12844,466479,1,2284,3481
12845,4000008479,2,2296,3477
12845,4000008480,3,2243,3440
12845,4000008481,4,1056,1601
12845,466480,1,1055,1600
12846,4000008671,2,1218,1600
12846,466633,1,2268,2975
12847,4000008672,2,903,1600
12847,466634,1,1661,2960
12848,4000008673,2,1236,1600
12848,466635,1,2215,2887
