menu_id,image_id,page_number,width,height
12460,1603595,1,5428,7230
12460,1603596,2,7230,5428
12460,1603597,3,5428,7230
12460,1603598,4,5428,7230
12461,1603591,1,5428,7230
12461,1603592,2,5428,7230
12461,1603593,3,5428,7230
12461,1603594,4,5428,7230
12462,4000001128,2,,
12462,474450,1,,
12463,4000009170,2,2046,3074
12463,466928,1,2004,3049
12464,4000009171,2,2888,3690
12464,466930,1,1246,1601
12465,4000009172,2,2307,3413
12465,466931,1,2291,3411
12466,4000009173,2,2312,3352
12466,466932,1,2305,3365
12467,4000009174,2,2102,3090
12467,4000009175,3,2114,3070
12467,4000009176,4,2230,3091
12467,466933,1,2213,3091
12468,4000009178,2,1921,2950
12468,466935,1,1929,2957
12469,4000009180,2,2468,3593
12469,466939,1,2485,3575
12470,4000009181,2,2305,3434
12470,466940,1,2282,3427
12471,4000009182,2,2314,3431
12471,466941,1,2305,3454
12472,4000009183,2,2111,3076
12472,4000009184,3,2108,3054
12472,4000009185,4,2225,3060
12472,466942,1,2220,3081
12473,4000009187,2,1808,2306
12473,466944,1,1807,2293
12474,4000009188,2,2008,2840
12474,4000009189,3,2054,2843
12474,4000009190,4,2064,2920
12474,4000009191,5,2112,2852
12474,4000009192,6,2059,2874
12474,4000009193,7,2081,2870
12474,4000009194,8,2113,2869
12474,4000009195,9,2076,2867
12474,4000009196,10,2091,2896
12474,4000009197,11,2044,2868
12474,4000009198,12,2688,2895
12474,466945,1,2407,2880
12475,4000009199,2,2481,3909
12475,466946,1,2494,3929
12476,4000009200,2,2397,3821
12476,4000009201,3,2385,3813
12476,4000009202,4,2521,3813
12476,466947,1,2520,3835
12477,4000009203,2,2299,3500
12477,466948,1,2303,3525
12478,4000009203,2,2299,3500
12478,466948,1,2303,3525
12479,4000009205,2,2195,3515
12479,4000009206,3,2190,3511
12479,4000009207,4,2311,3505
12479,466950,1,2319,3523
12480,4000009208,2,1965,2970
12480,466951,1,1930,2961
12481,4000009209,2,1966,2985
12481,466952,1,1952,2977
12482,4000009210,2,1807,2628
12482,466953,1,1807,2620
12483,4000009211,2,2480,3928
12483,466954,1,2497,3920
12484,4000009212,2,1750,2663
12484,4000009213,3,1870,2693
12484,4000009214,4,1852,2669
12484,4000009215,5,1797,2643
12484,4000009216,6,2188,2660
12484,466955,1,1950,2672
12485,4000009218,2,1971,2949
12485,466957,1,1972,2949
12486,4000009223,2,1426,3554
12486,466960,1,1402,3525
12487,4000009228,2,2389,3556
12487,466963,1,2367,3585
12488,4000009229,2,1992,2965
12488,4000009230,3,1996,2956
12488,4000009231,4,2027,3383
12488,466964,1,2076,3407
12489,4000009232,2,1619,2302
12489,4000009233,3,1555,2256
12489,4000009234,4,2279,1697
12489,466965,1,1727,2312
12490,4000009240,2,1881,3393
12490,466969,1,1882,3419
12491,4000009250,2,1856,2712
12491,466975,1,1818,2673
12492,4000009251,2,1951,2652
12492,4000009252,3,1953,2639
12492,4000009253,4,1974,2653
12492,4000009254,5,1990,2635
12492,4000009255,6,1965,2655
12492,4000009256,7,1969,2657
12492,4000009257,8,1977,2648
12492,4000009258,9,2029,2644
12492,4000009259,10,2020,2639
12492,466976,1,2377,2648
12493,4000009260,2,1905,2983
12493,466977,1,1921,2994
12494,4000009261,2,1722,2700
12494,4000009262,3,1717,2668
12494,4000009263,4,1718,2703
12494,4000009264,5,1740,2691
12494,4000009265,6,1766,2665
12494,4000009266,7,1740,2667
12494,4000009267,8,1855,2724
12494,466978,1,1936,2784
12495,4000009268,2,1580,2276
12495,4000009269,3,1660,2294
12495,4000009270,4,1616,2309
12495,4000009271,5,1629,2304
12495,4000009272,6,1668,2296
12495,4000009273,7,1644,2304
12495,4000009274,8,1764,2298
12495,466979,1,1805,2290
12497,4000009286,2,1951,3008
12497,466985,1,1938,3000
12498,4000009287,2,2090,2910
12498,466987,1,2113,2920
12499,4000009317,2,2388,3574
12499,466993,1,2382,3596
12500,4000009319,2,1762,2820
12500,466995,1,1747,2805
12501,4000009327,2,2738,1792
12501,467001,1,1873,2760
12502,4000009328,2,2759,1852
12502,467002,1,1875,2766
12503,459457,2,3273,2216
12503,459458,3,3404,2416
12503,474306,1,2042,3009
12504,4000008153,2,1691,2615
12504,475809,1,1740,2622
12505,4000008159,2,3133,4848
12505,475815,1,3261,4949
12506,4000008160,2,3513,5611
12506,4000008161,3,3229,5559
12506,4000008162,4,3525,5644
12506,475816,1,3549,5614
12507,4000008163,2,2954,4580
12507,475817,1,2990,4617
12508,4000008164,2,2001,3133
12508,475818,1,2021,3108
12509,4000008165,2,2191,3328
12509,475829,1,2158,3388
12510,4000008166,2,2755,3666
12510,475830,1,2758,3661
12511,4000008167,2,1776,2643
12511,4000008168,3,1763,2596
12511,4000008169,4,1801,2644
12511,4000008170,5,1809,2644
12511,4000008171,6,1796,2665
12511,4000008172,7,1814,2605
12511,4000008173,8,1812,2607
12511,4000008174,9,1809,2601
12511,4000008175,10,1775,2614
12511,4000008176,11,1785,2640
12511,4000008177,12,2150,2639
12511,475831,1,1953,2651
12515,4000000922,2,1514,2122
12515,474376,1,1502,2144
12516,4000000055,2,2282,3495
12516,4000000056,3,2290,3518
12516,4000000057,4,2321,3551
12516,476926,1,2306,3531
12517,4000002069,2,2174,3302
12517,474800,1,2145,3293
12518,4000013960,2,2857,4633
12518,4000013961,3,2823,4659
12518,4000013962,4,2986,4675
12518,471634,1,3064,4674
12519,4000013970,2,1417,2991
12519,4000013971,3,1454,2974
12519,4000013972,4,1512,3005
12519,471640,1,1514,2995
12520,4000013973,2,1585,1494
12520,4000013974,3,1727,1452
12520,4000013975,4,1594,1478
12520,4000013976,5,1710,1461
12520,4000013977,6,1584,1465
12520,4000013978,7,2118,1456
12520,471641,1,2066,1466
12522,4000013980,2,1147,1443
12522,4000013981,3,1134,1414
12522,4000013982,4,1306,1457
12522,471643,1,1291,1452
12523,4000013983,2,2406,3611
12523,4000013984,3,2464,3735
12523,4000013985,4,2460,3729
12523,4000013986,5,2427,3703
12523,4000013987,6,2436,3734
12523,4000013988,7,2452,3619
12523,4000013989,8,3690,2572
12523,471644,1,2593,3703
12524,4000013990,2,1565,3016
12524,4000013991,3,1538,3034
12524,4000013992,4,1655,3035
12524,471645,1,1667,3043
12525,4000008389,2,1882,2897
12525,4000008390,3,1852,2875
12525,4000008391,4,1849,2879
12525,466403,1,1981,2915
12526,4000008395,2,2488,4166
12526,466407,1,2404,4155
12527,4000008396,2,2743,1839
12527,466408,1,1894,2767
12528,4000008398,2,2781,1813
12528,466410,1,1900,2785
12529,4000008400,2,1362,1955
12529,4000008401,3,1331,1947
12529,4000008402,4,1357,1947
12529,466412,1,1349,1955
12530,4000008403,2,2196,3344
12530,466413,1,2220,3326
12531,4000008406,2,2162,3268
12531,466418,1,2280,3351
12532,4000008407,2,2229,3345
12532,466419,1,2229,3388
12533,4000008408,2,2132,3299
12533,466420,1,2170,3310
12534,4000008637,2,2213,3172
12534,466586,1,2244,3215
12535,4000008638,2,2369,3177
12535,466588,1,2372,3150
12536,4000008639,2,1815,2515
12536,466589,1,1822,2489
12537,4000008640,2,2742,1861
12537,466590,1,1857,2728
12538,4000008904,2,2076,3293
12538,466764,1,2112,3321
12539,4000008913,2,3559,5088
12539,4000008914,3,3553,5070
12539,4000008915,4,3650,5119
12539,466773,1,3609,5108
12544,4000008940,2,1950,2723
12544,466778,1,1965,2732
12545,4000008941,2,1718,4274
12545,4000008942,3,1768,4331
12545,4000008943,4,1867,4316
12545,466779,1,1855,4330
12546,4000014000,2,3094,3095
12546,4000014001,3,3073,3117
12546,4000014002,4,3103,3095
12546,471651,1,3095,3073
12549,4000014017,2,2317,2927
12549,471656,1,2294,2948
12550,4000014018,2,2307,3535
12550,471657,1,2332,3528
12551,4000014020,2,2304,3426
12551,471667,1,2257,3383
12552,4000014021,2,1865,2820
12552,471668,1,1867,2828
12553,4000014022,2,2298,2939
12553,471669,1,2308,2930
12554,4000010545,2,1938,3078
12554,468673,1,1956,3081
12555,4000010548,2,1889,2925
12555,468676,1,1945,2940
12556,4000010555,2,2682,3946
12556,4000010556,3,2687,3935
12556,4000010557,4,2763,3938
12556,468683,1,2798,3950
12557,4000010559,2,2024,3035
12557,468685,1,2064,3038
12558,4000008410,2,2358,3671
12558,466422,1,2356,3595
12559,4000008411,2,2200,3018
12559,4000008412,3,2210,3016
12559,4000008413,4,2217,2992
12559,4000008414,5,2144,3027
12559,4000008415,6,2164,2992
12559,4000008416,7,2183,2999
12559,4000008417,8,2329,2979
12559,466423,1,2353,3058
12560,4000008418,2,1774,2888
12560,4000008419,3,1825,2943
12560,4000008420,4,1905,2929
12560,466424,1,1925,2906
12561,4000008424,2,1537,2105
12561,466433,1,1473,2101
12562,4000008429,2,2763,1875
12562,466438,1,1979,2803
12563,4000009666,2,2183,3542
12563,4000009667,3,2173,3501
12563,4000009668,4,2292,3509
12563,467215,1,2294,3519
12564,4000009669,2,2792,3915
12564,4000009670,3,2715,3899
12564,4000009671,4,2879,3886
12564,4000009672,5,1515,2332
12564,4000009673,6,1498,2298
12564,467216,1,2860,3920
12566,4000009678,2,1330,1911
12566,467218,1,1300,1934
12567,4000009679,2,1474,2644
12567,467219,1,1450,2621
12568,4000009681,2,2021,3211
12568,467221,1,1998,3190
12569,4000008650,2,1821,2629
12569,466597,1,1811,2600
12570,4000008651,2,2385,3125
12570,466598,1,2428,3112
12571,4000008652,2,4142,2930
12571,4000008653,3,1943,2902
12571,466599,1,2151,2927
12572,4000008655,2,2025,2883
12572,466601,1,2418,2864
12573,4000008656,2,1687,2143
12573,4000008657,3,1694,2197
12573,4000008658,4,1762,2132
12573,466603,1,1775,2149
12574,4000008660,2,2334,3512
12574,466614,1,2317,3508
12575,4000008944,2,2990,4592
12575,466780,1,2978,4592
12576,4000008945,2,1855,2905
12576,466781,1,1846,2901
12577,4000008947,2,2116,2910
12577,466783,1,2083,2884
12578,4000008948,2,2087,3299
12578,466784,1,2088,3291
12579,4000008949,2,2376,3582
12579,466785,1,2369,3590
12580,1603595,1,5428,7230
12580,1603596,2,7230,5428
12580,1603597,3,5428,7230
12580,1603598,4,5428,7230
12581,1603591,1,5428,7230
12581,1603592,2,5428,7230
12581,1603593,3,5428,7230
12581,1603594,4,5428,7230
12582,4000001128,2,,
12582,474450,1,,
12583,4000009170,2,2046,3074
12583,466928,1,2004,3049
12584,4000009171,2,2888,3690
12584,466930,1,1246,1601
12585,4000009172,2,2307,3413
12585,466931,1,2291,3411
12586,4000009173,2,2312,3352
12586,466932,1,2305,3365
12587,4000009174,2,2102,3090
12587,4000009175,3,2114,3070
12587,4000009176,4,2230,3091
12587,466933,1,2213,3091
12588,4000009178,2,1921,2950
12588,466935,1,1929,2957
12589,4000009180,2,2468,3593
12589,466939,1,2485,3575
12590,4000009181,2,2305,3434
12590,466940,1,2282,3427
12591,4000009182,2,2314,3431
12591,466941,1,2305,3454
12592,4000009183,2,2111,3076
12592,4000009184,3,2108,3054
12592,4000009185,4,2225,3060
12592,466942,1,2220,3081
12593,4000009187,2,1808,2306
12593,466944,1,1807,2293
12595,4000009199,2,2481,3909
12595,466946,1,2494,3929
12596,4000009200,2,2397,3821
12596,4000009201,3,2385,3813
12596,4000009202,4,2521,3813
12596,466947,1,2520,3835
12597,4000009203,2,2299,3500
12597,466948,1,2303,3525
12598,4000009203,2,2299,3500
12598,466948,1,2303,3525
12599,4000009205,2,2195,3515
12599,4000009206,3,2190,3511
12599,4000009207,4,2311,3505
12599,466950,1,2319,3523
12600,4000009208,2,1965,2970
12600,466951,1,1930,2961
12601,4000009209,2,1966,2985
12601,466952,1,1952,2977
12602,4000009210,2,1807,2628
12602,466953,1,1807,2620
12603,4000009211,2,2480,3928
12603,466954,1,2497,3920
12604,4000009212,2,1750,2663
12604,4000009213,3,1870,2693
12604,4000009214,4,1852,2669
12604,4000009215,5,1797,2643
12604,4000009216,6,2188,2660
12604,466955,1,1950,2672
12605,4000009218,2,1971,2949
12605,466957,1,1972,2949
12606,4000009223,2,1426,3554
12606,466960,1,1402,3525
12607,4000009228,2,2389,3556
12607,466963,1,2367,3585
12609,4000009232,2,1619,2302
12609,4000009233,3,1555,2256
12609,4000009234,4,2279,1697
12609,466965,1,1727,2312
12610,4000009240,2,1881,3393
12610,466969,1,1882,3419
12611,4000009250,2,1856,2712
12611,466975,1,1818,2673
12613,4000009260,2,1905,2983
12613,466977,1,1921,2994
12614,4000009261,2,1722,2700
